,Made Donation in March 2007
659,0.7418033564952491
276,0.27299501221446937
263,0.5372382496918695
303,0.5821726236492148
83,0.7456063246059711
500,0.9054995766388372
530,0.5717179880972881
244,0.31059535205382255
249,0.051031497357126136
728,0.18367305948709206
129,0.37916193764193745
534,0.3213401272593854
317,0.5545335494103205
401,0.5372382496918695
696,0.5684785228912826
192,0.374404456342062
176,0.46638783673658146
571,0.7011230281705344
139,0.22314815597003865
423,0.5698514265296992
563,0.6912822452095241
56,0.5949632787834153
528,0.6108636207448149
101,0.5372382496918695
467,0.49469992152896597
382,0.6062627753829071
466,0.6104040854995595
294,0.31059535205382255
512,0.5373595004249362
659,0.7418033564952491
389,0.6238905554184819
487,0.10176265703056275
701,0.5838364778181556
419,0.5123090248962073
536,0.39055921367955215
240,0.4865198090438081
508,0.4240958626206678
515,0.31059535205382255
283,0.5832843011641012
650,0.5372382496918695
65,0.60535882780233
228,0.3333385324681751
741,0.15805209573538317
297,0.6396843996764976
464,0.2863845559598553
63,0.5838364778181556
231,0.58552310571358
28,0.26777595452567887
248,0.31059535205382255
357,0.36763499134746025
300,0.775665487637294
726,0.8578505487304333
680,0.35920556710535134
520,0.5742795256203465
254,0.1315744167169011
582,0.4038909190908704
143,0.4494539499452542
98,0.6355216997956628
1,0.5547916616430981
221,0.7759646489625691
352,0.5372382496918695
64,0.29819777826953703
138,0.5396202328587208
745,0.6709725764039967
64,0.29819777826953703
688,0.24529842872024074
623,0.2779547455724085
289,0.44294962563993456
174,0.5746963516260565
690,0.5372382496918695
105,0.3833750817072544
427,0.32660111326788005
48,0.044400095336194864
14,0.5372382496918695
657,0.13284743166857482
301,0.3122413541521377
455,0.30083741855128654
579,0.557738996694692
722,0.2796409965401267
98,0.6355216997956628
491,0.044400095336194864
303,0.5821726236492148
466,0.6104040854995595
65,0.60535882780233
300,0.775665487637294
9,0.18847739100714045
622,0.374404456342062
323,0.24998722383221003
289,0.44294962563993456
568,0.6035862943079727
290,0.5372382496918695
156,0.3269982990779866
464,0.2863845559598553
426,0.30005915884095946
306,0.4799279474373217
4,0.5621832643692737
12,0.5734081609040307
187,0.5167713458702902
406,0.17870309257485367
96,0.5717179880972881
509,0.5838364778181556
733,0.30657916726521395
548,0.18154571246244508
478,0.45428880640881686
501,0.3776429212577247
127,0.680136215620214
199,0.4642182448303123
299,0.6959298074181893
162,0.5372382496918695
235,0.30501262459264594
23,0.410818103766009
473,0.5372382496918695
487,0.10176265703056275
683,0.6518423990222877
303,0.5821726236492148
309,0.12446907539823582
569,0.16121067218071905
34,0.6183470450910052
686,0.8264618205333143
84,0.5366874396975568
733,0.30657916726521395
537,0.6925261669502997
181,0.35284737125066185
453,0.9376475016302328
67,0.6827460221000281
161,0.7395132170138228
307,0.5374927709783982
703,0.40763935864694145
181,0.35284737125066185
246,0.34125583128706344
316,0.6226994818868877
278,0.374404456342062
346,0.4189645814651203
545,0.5372382496918695
419,0.5123090248962073
694,0.5717179880972881
622,0.374404456342062
663,0.17554410943058177
262,0.8325525320793236
461,0.5300112663180973
373,0.975059892573727
233,0.5372382496918695
466,0.6104040854995595
207,0.4494539499452542
263,0.5372382496918695
16,0.16121067218071905
513,0.16127663304396062
449,0.5686292713520081
429,0.09312868386327271
701,0.5838364778181556
632,0.13899910178351577
529,0.7755475789907859
245,0.5372705632430761
344,0.31010903179144655
353,0.31495021839642645
241,0.5832371958629786
633,0.271574113909488
624,0.5838364778181556
726,0.8578505487304333
189,0.374404456342062
138,0.5396202328587208
402,0.31059535205382255
511,0.6089156150608817
590,0.656662666575624
334,0.41424445903312035
447,0.18283415134013614
119,0.6104040854995595
389,0.6238905554184819
644,0.5372382496918695
423,0.5698514265296992
131,0.16121067218071905
405,0.03702582139596303
82,0.5372382496918695
643,0.9857307594130894
156,0.3269982990779866
617,0.1714187576066232
574,0.6575783359526624
272,0.5451712756943344
613,0.23001533052239337
545,0.5372382496918695
685,0.31059535205382255
570,0.3936777553886616
537,0.6925261669502997
691,0.271574113909488
85,0.7531104775569541
483,0.34125583128706344
455,0.30083741855128654
93,0.374404456342062
744,0.5838364778181556
33,0.34125583128706344
321,0.8955155471880473
523,0.4929706944418891
426,0.30005915884095946
196,0.26207737192446884
301,0.3122413541521377
103,0.271574113909488
224,0.20251769108671988
454,0.24039488357768882
585,0.1630858103475836
154,0.6266425339012875
