,Made Donation in March 2007
659,0.7396080898849786
276,0.27408699036016204
263,0.533149191035518
303,0.5896806255145093
83,0.7533208035465397
500,0.9133374997112808
530,0.5696826720784027
244,0.3050428000637831
249,0.054644460219784814
728,0.18482517895790646
129,0.3776560770553598
534,0.32006292873497927
317,0.5446963024769209
401,0.533149191035518
696,0.5632929416444308
192,0.368992541806001
176,0.4691017786735975
571,0.7092514622951462
139,0.2214656525210309
423,0.5650897880583835
563,0.687951313856258
56,0.5895181755832966
528,0.6152340199778781
101,0.533149191035518
467,0.494151193506198
382,0.5970929844748591
466,0.6054003247132598
294,0.3050428000637831
512,0.5397366243262384
659,0.7396080898849786
389,0.61482536059461
487,0.09940613948446436
701,0.5803059563940485
419,0.5037745094022852
536,0.398878935975099
240,0.49014307693060666
508,0.4341082377268973
515,0.3050428000637831
283,0.5866082555969167
650,0.533149191035518
65,0.604819167539323
228,0.33430275276410254
741,0.15595649124507127
297,0.6351353306509823
464,0.2872030825852236
63,0.5803059563940485
231,0.5879043581429256
28,0.26919970706737195
248,0.3050428000637831
357,0.36852427105914065
300,0.7747245351280763
726,0.8659147122967147
680,0.35920804186515776
520,0.5683276812111104
254,0.1320713240330663
582,0.4046004112767057
143,0.4383012849580858
98,0.6389348837864698
1,0.550556523979694
221,0.774648609883435
352,0.533149191035518
64,0.2997625480912798
138,0.544475208090383
745,0.6637837232473234
64,0.2997625480912798
688,0.2458225628812079
623,0.27404369452403354
289,0.45202379593789066
174,0.578676706520417
690,0.533149191035518
105,0.38451661950585475
427,0.32609827452858087
48,0.04236056431969074
14,0.533149191035518
657,0.1322821440680821
301,0.3107193617174031
455,0.301166935285932
579,0.5471555315626687
722,0.2795563493772437
98,0.6389348837864698
491,0.04236056431969074
303,0.5896806255145093
466,0.6054003247132598
65,0.604819167539323
300,0.7747245351280763
9,0.18351217761434024
622,0.368992541806001
323,0.2501310560548196
289,0.45202379593789066
568,0.5990767172949791
290,0.533149191035518
156,0.3397777037356175
464,0.2872030825852236
426,0.2959057816749874
306,0.48720882951836214
4,0.5687975628399453
12,0.5764639886144235
187,0.5208330621401172
406,0.17744414878755807
96,0.5696826720784027
509,0.5803059563940485
733,0.30591423224645947
548,0.1807787947526742
478,0.4562533907129957
501,0.37653129573227184
127,0.6754164101199018
199,0.4675024249232797
299,0.6919745470382289
162,0.533149191035518
235,0.30339018709939314
23,0.41113679038828277
473,0.533149191035518
487,0.09940613948446436
683,0.6569197378136445
303,0.5896806255145093
309,0.12466929220375353
569,0.15657063429310222
34,0.6224764304179253
686,0.8354556271910087
84,0.5376205963260364
733,0.30591423224645947
537,0.6988328415250876
181,0.3541069017590729
453,0.9405680674802956
67,0.6780841075161028
161,0.7352333949043314
307,0.5306818918255113
703,0.40401193505785393
181,0.3541069017590729
246,0.33723663686021493
316,0.6178813057682241
278,0.368992541806001
346,0.41807251921786204
545,0.533149191035518
419,0.5037745094022852
694,0.5696826720784027
622,0.368992541806001
663,0.1773880151228664
262,0.834844330250247
461,0.5149536729981925
373,0.9776107496024099
233,0.533149191035518
466,0.6054003247132598
207,0.4383012849580858
263,0.533149191035518
16,0.15657063429310222
513,0.1601008278786053
449,0.5630897365552846
429,0.09424967857534085
701,0.5803059563940485
632,0.14099495706745652
529,0.7755920178410317
245,0.542996870119045
344,0.3105678032139872
353,0.3129495231624026
241,0.586034897147913
633,0.26607353731314565
624,0.5803059563940485
726,0.8659147122967147
189,0.368992541806001
138,0.544475208090383
402,0.3050428000637831
511,0.6126914274089361
590,0.6651353671118606
334,0.4164714751500364
447,0.1852184959258425
119,0.6054003247132598
389,0.61482536059461
644,0.533149191035518
423,0.5650897880583835
131,0.15657063429310222
405,0.03524700864907758
82,0.533149191035518
643,0.9874852210511531
156,0.3397777037356175
617,0.17103073751082806
574,0.6517593834581955
272,0.5309635707045522
613,0.23651386211711806
545,0.533149191035518
685,0.3050428000637831
570,0.3949203629636541
537,0.6988328415250876
691,0.26607353731314565
85,0.751588923343518
483,0.33723663686021493
455,0.301166935285932
93,0.368992541806001
744,0.5803059563940485
33,0.33723663686021493
321,0.9035416336908441
523,0.4882138730437531
426,0.2959057816749874
196,0.2645997342223077
301,0.3107193617174031
103,0.26607353731314565
224,0.19922033453520485
454,0.24129395569284104
585,0.16087593813489673
154,0.619901118811791
